
"id","comment","annotation"
"65","ব্রাজিল টিমে অনেকগুলো সেকান্দর বাক্স আছে দেখা যাচ্ছে; আবেগে কাইন্দালাইছে :P","negative"
"66","গতকাল ম্যাচে অনেক আজাইরা ফাউল/কার্ড দেয়া হইছে কিন্তু শিউর ফাউলও অনেকগুলা দেয় নাই","negative"
"67","এতো কিছুর পরও","negative"
"68","বাংলাদেশ এখন পোশাক রফতানি করে চলে","positive"
"69","অনলাইনে বাংলাদেশের খেলা দেখুন নিচের লিংক থেকে","neutral"
"70","নিন্দা জানাতেও ভয় পাচ্ছি","negative"
"71","পেট্রলবোমার পর ওরা এখন গ্রেনেড ধরবে বলে মনে হয়","negative"
"72","যদি এটা মেনেই নেন তাহলে খেলতে যাওয়ার দরকার কি?","negative"
"73","কেন আবার কে বাজে আম্পারিং করল ?","negative"
"74","যদি তা না করেন, কোন কিছুতেই তার কিছু হবে না","negative"
"75","মাথা মোটার জাত","negative"
"76","সত্যিই ক্রিকেট অবিশ্বাস্য খেলা","positive"
"77","`` কোকোইজম আবার আশীর্বাদ হয়ে মুষ্টিমেয় কয়েকজনকে ধন,মান,মর্যাদা,খেতাব প্রভৃতি দিয়ে উচ্চ মানের মানব বানাতে পারে","negative"
"78","এত বেপরোয়াভাব","negative"
"79","বঙ্গবন্ধু সারা বিশ্বের অনুকরনীয় নেতা","positive"
"80","সুড়ঙ্গ উন্নয়নের যুগ চলছে তো","positive"
"81","কয়েক বছর অভিনয় করেই প্রযোজক ? সত্যি সেলুকাস ! .. বিচিএ এ দেশ","negative"
"82","অননরা তাকে আনুসরন করে","neutral"
"83","সত্যিকারের মেধাবিরা আর গরিব রাই যেন সুবিধা টা পায়","positive"
"84","আর নির্বাচন ভাল হয়েছে","ambiguous"
"85","রাজনৈতিকভাবে জার্মানি দুভাগ হয়েছিল, ভৌগোলিকভাবে নয়","neutral"
"86","অ্যাকশান শেষ, এবং আবার শুরু","neutral"
"87","বড় ভয়াবহ পরিণতি অপেক্ষা করছে আওয়ামীলীগের জন্য","negative"
"88","নিরবাচন কমিশনলীগ,পুলিশ লীগ বা র‌্যাব লীগ ---ছাত্রলীগ/ যুবলিগ/সন্ত্রাসীই প্রকৃত জনগন","ambiguous"
"89","সমস্যা হলো আপনার এই ডাক খালেদা জিয়ার কান পর্যন্ত পৌছাবে না","negative"
"90","ইন্ডিয়া আমাগো বড় ভাই","negative"
"91","খালেদা জিয়া হারেননি","positive"
"92","সাকিবের পাশাপাশি ড. মুহাম্মদ ইউনুসকেও নোবেল বিজয়ের জন্য বিশেষ ধন্যবাদ দিলে আপনাদের দলের প্রতি মানুষের শ্রদ্ধা ভালবাসা আরোও বহুগুনে বাড়ত","positive"
"93","দাদী অম্মারা বললে হবে না","negative"
"94","সিডব্লিউসি ২০১৫'র এটাই ছিল ভবিতব্য","neutral"
"95","বাস্তব কথা লেখার জন্য অনেক অনেক ধন্যবাদ, পাবলিক প্রবলেম / ইন্টারেস্ট দেখার কি কেউ আছে??","ambiguous"
"96","প্রথম ১০ ওভারে আমাদের ঝানু এবং বর্ষীয়ান দুই ব্যাটসম্যান যদি অন্ততঃ আরো ২৫টি রানও জুগিয়ে দিত তাহলে ভাবুন তো কী অবস্থায় পড়তো নিউজিল্যান্ড?","negative"
"97","কিন্তু ভাই একটা কথা , হারলে কেউ প্লীজ বাংলাদেশকে নিয়ে খারাপ মন্তব্য করবেন না","positive"
"98","এই দল অনেক ভাল কিছু দিয়েছে, আমাদের নিরানন্দ জীবনে দিয়েছে অনেক বিনোদন","positive"
"99","নরেন্দ্র মোদী এক রুপকথার নায়কের নাম","positive"
"100","লেখককে ধন্য বাদ","positive"
"101","সারা দুনিয়াকে দেখিয়ে দাও আমরা আমাদের বীরদের কত ভালবাসি","positive"
"101","সারা দুনিয়াকে দেখিয়ে দাও আমরা আমাদের বীরদের কত ভালবাসি","positive"
"101","সারা দুনিয়াকে দেখিয়ে দাও আমরা আমাদের বীরদের কত ভালবাসি","positive"
"101","সারা দুনিয়াকে দেখিয়ে দাও আমরা আমাদের বীরদের কত ভালবাসি","positive"
"102","আবহে ইংগিতে মনে হচ্ছে, কমপক্ষে ঢাকা উত্তর তাদের চাই ই চাই","negative"
"102","আবহে ইংগিতে মনে হচ্ছে, কমপক্ষে ঢাকা উত্তর তাদের চাই ই চাই","ambiguous"
"102","আবহে ইংগিতে মনে হচ্ছে, কমপক্ষে ঢাকা উত্তর তাদের চাই ই চাই","ambiguous"
"102","আবহে ইংগিতে মনে হচ্ছে, কমপক্ষে ঢাকা উত্তর তাদের চাই ই চাই","positive"
"103","কাজটির জন্য ধিক্কার জানাই","negative"
"103","কাজটির জন্য ধিক্কার জানাই","negative"
"103","কাজটির জন্য ধিক্কার জানাই","negative"
"103","কাজটির জন্য ধিক্কার জানাই","negative"
"104","আমাদের পুলিশকে বাহবা দিতেই হবে!চালিয়ে যাও তোমাদের জন্য আজ আমরা গর্বিত!! ধন্যবাদ পুলিশ বাহিনী","positive"
"104","আমাদের পুলিশকে বাহবা দিতেই হবে!চালিয়ে যাও তোমাদের জন্য আজ আমরা গর্বিত!! ধন্যবাদ পুলিশ বাহিনী","positive"
"104","আমাদের পুলিশকে বাহবা দিতেই হবে!চালিয়ে যাও তোমাদের জন্য আজ আমরা গর্বিত!! ধন্যবাদ পুলিশ বাহিনী","positive"
"104","আমাদের পুলিশকে বাহবা দিতেই হবে!চালিয়ে যাও তোমাদের জন্য আজ আমরা গর্বিত!! ধন্যবাদ পুলিশ বাহিনী","negative"
"105","গনতন্ত্র আজ পদদলিত, স্বৈরাচার মাথা তুলে হাসছে ....!এটাই সোনার বাংলাদেশ","negative"
"105","গনতন্ত্র আজ পদদলিত, স্বৈরাচার মাথা তুলে হাসছে ....!এটাই সোনার বাংলাদেশ","negative"
"105","গনতন্ত্র আজ পদদলিত, স্বৈরাচার মাথা তুলে হাসছে ....!এটাই সোনার বাংলাদেশ","negative"
"105","গনতন্ত্র আজ পদদলিত, স্বৈরাচার মাথা তুলে হাসছে ....!এটাই সোনার বাংলাদেশ","negative"
"106","এটাই আমার দেশ, বাংলাদেশ","positive"
"106","এটাই আমার দেশ, বাংলাদেশ","positive"
"106","এটাই আমার দেশ, বাংলাদেশ","positive"
"106","এটাই আমার দেশ, বাংলাদেশ","negative"
"107","অভিনন্দন ব্রাজিল, অভিনন্দন নেইমার","positive"
"107","অভিনন্দন ব্রাজিল, অভিনন্দন নেইমার","positive"
"107","অভিনন্দন ব্রাজিল, অভিনন্দন নেইমার","positive"
"107","অভিনন্দন ব্রাজিল, অভিনন্দন নেইমার","negative"
"108","মুক্তিযোদ্বারাই আমাদের সকল প্রেরণার উৎস","positive"
"108","মুক্তিযোদ্বারাই আমাদের সকল প্রেরণার উৎস","positive"
"108","মুক্তিযোদ্বারাই আমাদের সকল প্রেরণার উৎস","positive"
"108","মুক্তিযোদ্বারাই আমাদের সকল প্রেরণার উৎস","neutral"
"109","এই মুহুর্তে বিএনপি বা জামাত কি ভুল করল তা বিশ্লেষণ করলে জাতির তেমন লাভ হবে না","negative"
"109","এই মুহুর্তে বিএনপি বা জামাত কি ভুল করল তা বিশ্লেষণ করলে জাতির তেমন লাভ হবে না","neutral"
"109","এই মুহুর্তে বিএনপি বা জামাত কি ভুল করল তা বিশ্লেষণ করলে জাতির তেমন লাভ হবে না","negative"
"109","এই মুহুর্তে বিএনপি বা জামাত কি ভুল করল তা বিশ্লেষণ করলে জাতির তেমন লাভ হবে না","neutral"
"110","দেখা যাক","neutral"
"110","দেখা যাক","neutral"
"110","দেখা যাক","neutral"
"110","দেখা যাক","positive"
"111","হুদাই কাজের অভিনয়","negative"
"111","হুদাই কাজের অভিনয়","negative"
"111","হুদাই কাজের অভিনয়","negative"
"111","হুদাই কাজের অভিনয়","negative"
"112","পুলিশের চারিত্রিক ও নীতিগত দৃঢ়তা বৃুদ্ধি পেলেই জনগণের অপরাধ প্রবনতা হ্রাস পাবে, সাথে উভয়ের জন্য উন্নত শিক্ষা চাই","positive"
"112","পুলিশের চারিত্রিক ও নীতিগত দৃঢ়তা বৃুদ্ধি পেলেই জনগণের অপরাধ প্রবনতা হ্রাস পাবে, সাথে উভয়ের জন্য উন্নত শিক্ষা চাই","positive"
"112","পুলিশের চারিত্রিক ও নীতিগত দৃঢ়তা বৃুদ্ধি পেলেই জনগণের অপরাধ প্রবনতা হ্রাস পাবে, সাথে উভয়ের জন্য উন্নত শিক্ষা চাই","neutral"
"112","পুলিশের চারিত্রিক ও নীতিগত দৃঢ়তা বৃুদ্ধি পেলেই জনগণের অপরাধ প্রবনতা হ্রাস পাবে, সাথে উভয়ের জন্য উন্নত শিক্ষা চাই","positive"
"113","ইন্ডিয়া জিতলে খুশি হত ICC , কিন্তু ওয়েস্ট ইন্ডিজের জিতে খুশি হল সারা বিশ্ব","negative"
"113","ইন্ডিয়া জিতলে খুশি হত ICC , কিন্তু ওয়েস্ট ইন্ডিজের জিতে খুশি হল সারা বিশ্ব","positive"
"113","ইন্ডিয়া জিতলে খুশি হত ICC , কিন্তু ওয়েস্ট ইন্ডিজের জিতে খুশি হল সারা বিশ্ব","positive"
"113","ইন্ডিয়া জিতলে খুশি হত ICC , কিন্তু ওয়েস্ট ইন্ডিজের জিতে খুশি হল সারা বিশ্ব","negative"
"114","আমাদের পরের টারগেট ইন্ডিয়া, রেডি তো বাংলাওয়াস এর জন্য ?","positive"
"114","আমাদের পরের টারগেট ইন্ডিয়া, রেডি তো বাংলাওয়াস এর জন্য ?","positive"
"114","আমাদের পরের টারগেট ইন্ডিয়া, রেডি তো বাংলাওয়াস এর জন্য ?","ambiguous"
"114","আমাদের পরের টারগেট ইন্ডিয়া, রেডি তো বাংলাওয়াস এর জন্য ?","negative"
"115","ইতিহাস ও বাস্তবতার আলোকে বর্তমানকে দেখার মত দূরদর্শী, সাহসী সাংবাদিকের মাঝে তিনি একজন","positive"
"115","ইতিহাস ও বাস্তবতার আলোকে বর্তমানকে দেখার মত দূরদর্শী, সাহসী সাংবাদিকের মাঝে তিনি একজন","positive"
"115","ইতিহাস ও বাস্তবতার আলোকে বর্তমানকে দেখার মত দূরদর্শী, সাহসী সাংবাদিকের মাঝে তিনি একজন","positive"
"115","ইতিহাস ও বাস্তবতার আলোকে বর্তমানকে দেখার মত দূরদর্শী, সাহসী সাংবাদিকের মাঝে তিনি একজন","positive"
"116","বাংলাদেশের এক ছেলে দেখলাম সোলার পাওয়ার দিয়ে নৌকা চালাচ্ছে","positive"
"116","বাংলাদেশের এক ছেলে দেখলাম সোলার পাওয়ার দিয়ে নৌকা চালাচ্ছে","positive"
"117","আজকের ম্যাচের পর নাকে তেল দিয়ে ঘুমাবে","positive"
"117","আজকের ম্যাচের পর নাকে তেল দিয়ে ঘুমাবে","ambiguous"
"118","আপনার জানতে ইচ্ছে হলে কি হবে ? উত্তর তো পাবেন না","negative"
"118","আপনার জানতে ইচ্ছে হলে কি হবে ? উত্তর তো পাবেন না","negative"
"119","এটাকে আরো বৃদ্ধি করতে করের পরিমাণ বাড়াতে হবে! কি সব যুক্তি","negative"
"119","এটাকে আরো বৃদ্ধি করতে করের পরিমাণ বাড়াতে হবে! কি সব যুক্তি","negative"
"120","আপনারা ভাল আর সবাই খারাপ","negative"
"120","আপনারা ভাল আর সবাই খারাপ","negative"
"121","আঃলীগ বাদে সব নিষিদ্ধ","negative"
"121","আঃলীগ বাদে সব নিষিদ্ধ","ambiguous"
"122","আমি আসি দের পছন্দ করি না কিন্তু ভারতের রেকর্ড ভাংছে তাই জেনে খুশি","positive"
"122","আমি আসি দের পছন্দ করি না কিন্তু ভারতের রেকর্ড ভাংছে তাই জেনে খুশি","positive"
"123","আজকের খেলার ফলাফল ব্রাজিল -০ ক্রোয়েশিয়া - ১","neutral"
"123","আজকের খেলার ফলাফল ব্রাজিল -০ ক্রোয়েশিয়া - ১","neutral"
"124","মাসে ৩০,০০০ টা কেবল নিজেরি খরচ","neutral"
"124","মাসে ৩০,০০০ টা কেবল নিজেরি খরচ","ambiguous"
"125","আল্লাহ্‌ তাদের সহায় হউন","positive"
"125","আল্লাহ্‌ তাদের সহায় হউন","positive"
"126","নির্বাচনের আচরণবিধি অনুযায়ী বিশাল বহর নিয়ে কারও পক্ষে প্রচার চালানোর নিয়ম নেই","negative"
"126","নির্বাচনের আচরণবিধি অনুযায়ী বিশাল বহর নিয়ে কারও পক্ষে প্রচার চালানোর নিয়ম নেই","negative"
"127","সকল প্রতিকূলতার মাঝেও সমাজের খেটে খাওয়া মানুষগুলো যে এগিয়ে থাকবে এটাই বাস্তবতা","positive"
"127","সকল প্রতিকূলতার মাঝেও সমাজের খেটে খাওয়া মানুষগুলো যে এগিয়ে থাকবে এটাই বাস্তবতা","positive"
"128","আর বাংলাদেশ সেমিফাইনাল এও উঠতে পারবে না","negative"
"128","আর বাংলাদেশ সেমিফাইনাল এও উঠতে পারবে না","negative"
"129","কেন নারীর জন্য জাতীয় সংসদে ৫০ টি আসন সংরক্ষিত থাকে","negative"
"129","কেন নারীর জন্য জাতীয় সংসদে ৫০ টি আসন সংরক্ষিত থাকে","ambiguous"
"130","আশা করা ভাল","negative"
"130","আশা করা ভাল","positive"
"131","মেঘ দেখে কেউ করেসনি ভয় আড়ালে তার সুয্য হাসে","positive"
"131","মেঘ দেখে কেউ করেসনি ভয় আড়ালে তার সুয্য হাসে","positive"
"132","ব্যাপারটা মাথায় রাখতে হবে","positive"
"132","ব্যাপারটা মাথায় রাখতে হবে","ambiguous"
"133","বক বকানি না করে, টাইগারদের মাথা ঠান্ডা রেখে খেলতে দেন, জয়ের ধারাবাহিকতা আসুক","positive"
"133","বক বকানি না করে, টাইগারদের মাথা ঠান্ডা রেখে খেলতে দেন, জয়ের ধারাবাহিকতা আসুক","positive"
"134","ভুল নীতি দিয়ে সহজে জঙ্গি তৈরী করা যায়, কিন্তু নির্মূলের সহজ কোন পথ নেই","negative"
"134","ভুল নীতি দিয়ে সহজে জঙ্গি তৈরী করা যায়, কিন্তু নির্মূলের সহজ কোন পথ নেই","ambiguous"
"135","বিএনপি চেয়ারপারসন নেত্রীর বহরে দুই শতাধিক গাড়ি থাকবে বলেও জানান","neutral"
"135","বিএনপি চেয়ারপারসন নেত্রীর বহরে দুই শতাধিক গাড়ি থাকবে বলেও জানান","neutral"
"136","ভারত কাপ জিতবে","positive"
"136","ভারত কাপ জিতবে","ambiguous"
"137","েখন বাঘ মামা আবার ঘুম না দিলে হয়","negative"
"137","েখন বাঘ মামা আবার ঘুম না দিলে হয়","ambiguous"
"138","হ্যাঁ করে কারন বাংলাদেশের মানুষ ভালো করে জানে কারা মানুষ পুড়িয়েছে","negative"
"138","হ্যাঁ করে কারন বাংলাদেশের মানুষ ভালো করে জানে কারা মানুষ পুড়িয়েছে","negative"
"139","ভালো খেললেই হবে","positive"
"139","ভালো খেললেই হবে","positive"
"140","তোমরা ৭১' এর মুক্তিযোদ্ধাদের মতো প্লান করে লড়ে যাও দেখবে ঠিকই বিজয় হয়েছে","positive"
"140","তোমরা ৭১' এর মুক্তিযোদ্ধাদের মতো প্লান করে লড়ে যাও দেখবে ঠিকই বিজয় হয়েছে","positive"
"141","রাজনীতি করবে শুধু","neutral"
"141","রাজনীতি করবে শুধু","ambiguous"
"142","মনে হয় যখন ইনারা স্বপদে ছিলেন তখন আসলে কি করছে","negative"
"142","মনে হয় যখন ইনারা স্বপদে ছিলেন তখন আসলে কি করছে","ambiguous"
"143","সীমান্তে ষড়যন্ত্র, রাজনীতিতে ষড়যন্ত্র, এমনকি ক্রিকেটেও ষড়যন্ত্র","negative"
"143","সীমান্তে ষড়যন্ত্র, রাজনীতিতে ষড়যন্ত্র, এমনকি ক্রিকেটেও ষড়যন্ত্র","negative"
"144","এই সব নরপশুদের কে কঠিন শাস্তি দেওয়া হোক","negative"
"144","এই সব নরপশুদের কে কঠিন শাস্তি দেওয়া হোক","negative"
"145","গরু ঘাস খায় আমি গরু খাই তাই আমি ভেজিটেরিয়ান","ambiguous"
"145","গরু ঘাস খায় আমি গরু খাই তাই আমি ভেজিটেরিয়ান","ambiguous"
"146","তুলনামূলক বিচারে আওয়ামী জিহ্বাগুলি অনেক বেশী অশালীন","negative"
"146","তুলনামূলক বিচারে আওয়ামী জিহ্বাগুলি অনেক বেশী অশালীন","negative"
"147","‘মনটা খুব খারাপ তো! তাই ব্যাগটা এত ভারী লাগছে","negative"
"147","‘মনটা খুব খারাপ তো! তাই ব্যাগটা এত ভারী লাগছে","ambiguous"
"148","এরা আমাদের বাংলাদেশকে আবোরজনা বানিয়ে ফেলেছে","negative"
"148","এরা আমাদের বাংলাদেশকে আবোরজনা বানিয়ে ফেলেছে","negative"
"149","ইলেকশনের পরে দেশে যে সংঘরষ খুন খারাবি হয় নাই এটা কাইউম সাহেবদের হয়ত হতাশ করেছে !! ওনাদের এক্সপেক্টেশন অনেক বেশি ছিল","negative"
"149","ইলেকশনের পরে দেশে যে সংঘরষ খুন খারাবি হয় নাই এটা কাইউম সাহেবদের হয়ত হতাশ করেছে !! ওনাদের এক্সপেক্টেশন অনেক বেশি ছিল","negative"
"150","বাহ চমৎকার !!!!!!!!!!!!!!!!1","positive"
"150","বাহ চমৎকার !!!!!!!!!!!!!!!!1","positive"
"151","তারেক রহমান যদি দেশে না ফিরে তবে কি বিএনপি ধ্বংস হয়ে যাবে ?","negative"
"151","তারেক রহমান যদি দেশে না ফিরে তবে কি বিএনপি ধ্বংস হয়ে যাবে ?","neutral"
"152","না দেখলে বিশ্বাস হত না","positive"
"152","না দেখলে বিশ্বাস হত না","neutral"
"153","আনিসুল হক এগিয়ে যান","positive"
"153","আনিসুল হক এগিয়ে যান","positive"
"154","তারেক হাওয়া থেকে পাওয়া ইতিহাস বলে , এই জন্যই তারেক ইংল্যান্ড থাকে","negative"
"154","তারেক হাওয়া থেকে পাওয়া ইতিহাস বলে , এই জন্যই তারেক ইংল্যান্ড থাকে","negative"
"155","ফালতু রেপরতিং","negative"
"155","ফালতু রেপরতিং","negative"
"156","ভাই ব্রাজিলকে এড়ানো নয়, ব্রাজিলই হল্যান্ডকে এড়াতে চায়","negative"
"156","ভাই ব্রাজিলকে এড়ানো নয়, ব্রাজিলই হল্যান্ডকে এড়াতে চায়","negative"
"157","পাকিস্তানকে ভাগে পেলে সবচেয়ে ভাল হতো নাছির জামসেদ উচিৎ জবাব পেয়ে যেত","negative"
"157","পাকিস্তানকে ভাগে পেলে সবচেয়ে ভাল হতো নাছির জামসেদ উচিৎ জবাব পেয়ে যেত","negative"
"158","নিঃসঙ্কোচে বক্তব্য প্রত্যাহারের জন্য আপনাকে অসংখ্য ধন্যবাদ","positive"
"158","নিঃসঙ্কোচে বক্তব্য প্রত্যাহারের জন্য আপনাকে অসংখ্য ধন্যবাদ","positive"
"159","বল লেগ স্টাম্পের লাইনের বাইরে ফেলা যাবে না","neutral"
"159","বল লেগ স্টাম্পের লাইনের বাইরে ফেলা যাবে না","ambiguous"
"160","আশা করছি পরের গুলো আরো ভাল খেলব","positive"
"160","আশা করছি পরের গুলো আরো ভাল খেলব","positive"
"161","কোন এক মন্ত্রী মহাদয় বলে দিলেন চট করে, যে এর জন্য খালেদা দায়ী","negative"
"161","কোন এক মন্ত্রী মহাদয় বলে দিলেন চট করে, যে এর জন্য খালেদা দায়ী","ambiguous"
"162","দিলাম ভাই সুপার লাইক","positive"
"162","দিলাম ভাই সুপার লাইক","positive"
"163","আমেরিকার প্রেসিডেন্টরা এমনই","neutral"
"164","ভারতীয় সব পন্য বর্জন করছি","negative"
"164","ভারতীয় সব পন্য বর্জন করছি","negative"
"165","তা নাহলে ধর্মীয় উগ্রবাদের ছোবল থেকে কারোই নিস্তার নেই","negative"
"165","তা নাহলে ধর্মীয় উগ্রবাদের ছোবল থেকে কারোই নিস্তার নেই","negative"
"166","আমাদের নেত্রীরা নেতারা হচ্ছেন একের ভিতরে তিন, তিনের মধ্যে এক","ambiguous"
"166","আমাদের নেত্রীরা নেতারা হচ্ছেন একের ভিতরে তিন, তিনের মধ্যে এক","ambiguous"
"167","সোলায়মান- এরা সন্ত্রাসী হলে ছাত্রলীগের সোনার ছেলেরা কি ? লগি-বৈঠা দিয়ে বর্বর-পৈচাশিক ভাবে মানুষ হত্যা করে লাশের উপর দাড়িয়ে উল্লাস করে তারা কি মানুষ ?","negative"
"167","সোলায়মান- এরা সন্ত্রাসী হলে ছাত্রলীগের সোনার ছেলেরা কি ? লগি-বৈঠা দিয়ে বর্বর-পৈচাশিক ভাবে মানুষ হত্যা করে লাশের উপর দাড়িয়ে উল্লাস করে তারা কি মানুষ ?","negative"
"168","গর্জে উঠ আবারাে .. জয় বাংলাবলে আগে বাড়ো","positive"
"168","গর্জে উঠ আবারাে .. জয় বাংলাবলে আগে বাড়ো","positive"
"169","সুপার লাইক হাসান , আপনি আমার মনের কথাটা বলেছেন","positive"
"169","সুপার লাইক হাসান , আপনি আমার মনের কথাটা বলেছেন","positive"
"170","বিএনপি'র গত আন্দোলনে সব চেয়ে বেশি মানুষ পুড়িয়েছে সরকার","negative"
"170","বিএনপি'র গত আন্দোলনে সব চেয়ে বেশি মানুষ পুড়িয়েছে সরকার","negative"
"171","ওনার ছক্কা মারাটা জটিল লেগেছে","positive"
"171","ওনার ছক্কা মারাটা জটিল লেগেছে","positive"
"172","ধিক্কার জানাই আপনার এই মানসিকতাকে যে কিনা এক নিরীহ শিশুকে সন্ত্রাসী হিসেবে আক্খায়িত করতে পারে","negative"
"172","ধিক্কার জানাই আপনার এই মানসিকতাকে যে কিনা এক নিরীহ শিশুকে সন্ত্রাসী হিসেবে আক্খায়িত করতে পারে","negative"
"173","১৯৮৬ বিশ্বকাপ আর্জেন্টিনা জিতেছিল জার্মানির বিপক্ষে","positive"
"173","১৯৮৬ বিশ্বকাপ আর্জেন্টিনা জিতেছিল জার্মানির বিপক্ষে","positive"
"174","গাঁজাও একটি ভয়ংকর মাদক","negative"
"174","গাঁজাও একটি ভয়ংকর মাদক","negative"
"175","ডিএমপি কমিশনার মহোদয়ের বক্তৃতা শুনলে মনে হয় উনি ঢাকা শহরের অধিপতি! আইজি সাহেবের কথায়ও এত ঝাল দেখা যায় না","negative"
"175","ডিএমপি কমিশনার মহোদয়ের বক্তৃতা শুনলে মনে হয় উনি ঢাকা শহরের অধিপতি! আইজি সাহেবের কথায়ও এত ঝাল দেখা যায় না","negative"
"176","অদ্ভুত ভাগ্যের পরিহাস","negative"
"176","অদ্ভুত ভাগ্যের পরিহাস","neutral"
"177","কিন্তু ভাগ্য ভাল চোখটা বেঁচে গেছে অল্পের জন্য","positive"
"177","কিন্তু ভাগ্য ভাল চোখটা বেঁচে গেছে অল্পের জন্য","positive"
"178","গণতন্ত্রের বিসর্জন হয়েছে","negative"
"178","গণতন্ত্রের বিসর্জন হয়েছে","negative"
"179","কিন্তু যেটার দাম বৃদ্ধি পায় তা আর সহজে কমেনা","negative"
"179","কিন্তু যেটার দাম বৃদ্ধি পায় তা আর সহজে কমেনা","negative"
"180","কোটা পদ্ধতি তুলতে না পারলে পদবির পাশে অন্তত কোটা লেখার ব্যবস্থা রাখা হউক","ambiguous"
"180","কোটা পদ্ধতি তুলতে না পারলে পদবির পাশে অন্তত কোটা লেখার ব্যবস্থা রাখা হউক","neutral"
